YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2017,4,30,0,0.0
2017,4,30,1,0.0
2017,4,30,2,0.0
2017,4,30,3,0.0
2017,4,30,4,0.0
2017,4,30,5,36.96
2017,4,30,6,170.82
2017,4,30,7,375.05
2017,4,30,8,581.59
2017,4,30,9,721.3
2017,4,30,10,774.39
2017,4,30,11,800.75
2017,4,30,12,817.22
2017,4,30,13,787.01
2017,4,30,14,706.18
2017,4,30,15,466.23
2017,4,30,16,316.48
2017,4,30,17,154.38
2017,4,30,18,29.8
2017,4,30,19,0.0
2017,4,30,20,0.0
2017,4,30,21,0.0
2017,4,30,22,0.0
2017,4,30,23,0.0
2017,5,1,0,0.0
2017,5,1,1,0.0
2017,5,1,2,0.0
2017,5,1,3,0.0
2017,5,1,4,0.0
2017,5,1,5,42.3
2017,5,1,6,230.87
2017,5,1,7,442.09
2017,5,1,8,639.83
2017,5,1,9,790.66
2017,5,1,10,904.45
2017,5,1,11,962.25
2017,5,1,12,958.62
2017,5,1,13,891.29
2017,5,1,14,775.85
2017,5,1,15,620.95
2017,5,1,16,430.88
2017,5,1,17,225.89
2017,5,1,18,44.14
2017,5,1,19,0.0
2017,5,1,20,0.0
2017,5,1,21,0.0
2017,5,1,22,0.0
2017,5,1,23,0.0
2017,5,2,0,0.0
2017,5,2,1,0.0
2017,5,2,2,0.0
2017,5,2,3,0.0
2017,5,2,4,0.0
2017,5,2,5,44.04
2017,5,2,6,218.27
2017,5,2,7,431.37
2017,5,2,8,613.26
2017,5,2,9,751.59
2017,5,2,10,852.29
2017,5,2,11,747.41
2017,5,2,12,826.42
2017,5,2,13,679.77
2017,5,2,14,668.3
2017,5,2,15,549.61
2017,5,2,16,367.12
2017,5,2,17,180.32
2017,5,2,18,30.34
2017,5,2,19,0.0
2017,5,2,20,0.0
2017,5,2,21,0.0
2017,5,2,22,0.0
2017,5,2,23,0.0
2017,5,3,0,0.0
2017,5,3,1,0.0
2017,5,3,2,0.0
2017,5,3,3,0.0
2017,5,3,4,0.0
2017,5,3,5,41.95
2017,5,3,6,217.83
2017,5,3,7,428.16
2017,5,3,8,617.83
2017,5,3,9,775.77
2017,5,3,10,886.62
2017,5,3,11,928.25
2017,5,3,12,932.88
2017,5,3,13,853.06
2017,5,3,14,755.37
2017,5,3,15,620.09
2017,5,3,16,425.95
2017,5,3,17,217.36
2017,5,3,18,42.4
2017,5,3,19,0.0
2017,5,3,20,0.0
2017,5,3,21,0.0
2017,5,3,22,0.0
2017,5,3,23,0.0
2017,5,4,0,0.0
2017,5,4,1,0.0
2017,5,4,2,0.0
2017,5,4,3,0.0
2017,5,4,4,0.0
2017,5,4,5,46.67
2017,5,4,6,225.85
2017,5,4,7,432.09
2017,5,4,8,621.78
2017,5,4,9,776.64
2017,5,4,10,884.15
2017,5,4,11,940.54
2017,5,4,12,928.62
2017,5,4,13,854.02
2017,5,4,14,698.68
2017,5,4,15,512.63
2017,5,4,16,248.78
2017,5,4,17,119.0
2017,5,4,18,23.48
2017,5,4,19,0.0
2017,5,4,20,0.0
2017,5,4,21,0.0
2017,5,4,22,0.0
2017,5,4,23,0.0
2017,5,5,0,0.0
2017,5,5,1,0.0
2017,5,5,2,0.0
2017,5,5,3,0.0
2017,5,5,4,0.0
2017,5,5,5,32.33
2017,5,5,6,111.44
2017,5,5,7,257.85
2017,5,5,8,435.09
2017,5,5,9,587.33
2017,5,5,10,501.88
2017,5,5,11,559.86
2017,5,5,12,452.49
2017,5,5,13,488.86
2017,5,5,14,544.64
2017,5,5,15,442.16
2017,5,5,16,324.64
2017,5,5,17,183.93
2017,5,5,18,38.4
2017,5,5,19,0.0
2017,5,5,20,0.0
2017,5,5,21,0.0
2017,5,5,22,0.0
2017,5,5,23,0.0
2017,5,6,0,0.0
2017,5,6,1,0.0
2017,5,6,2,0.0
2017,5,6,3,0.0
2017,5,6,4,0.0
2017,5,6,5,57.93
2017,5,6,6,247.4
2017,5,6,7,457.2
2017,5,6,8,648.09
2017,5,6,9,800.3
2017,5,6,10,912.91
2017,5,6,11,965.66
2017,5,6,12,972.87
2017,5,6,13,914.51
2017,5,6,14,801.59
2017,5,6,15,645.09
2017,5,6,16,447.75
2017,5,6,17,235.57
2017,5,6,18,52.73
2017,5,6,19,0.0
2017,5,6,20,0.0
2017,5,6,21,0.0
2017,5,6,22,0.0
2017,5,6,23,0.0
2017,5,7,0,0.0
2017,5,7,1,0.0
2017,5,7,2,0.0
2017,5,7,3,0.0
2017,5,7,4,0.0
2017,5,7,5,58.36
2017,5,7,6,243.62
2017,5,7,7,446.76
2017,5,7,8,631.07
2017,5,7,9,779.23
2017,5,7,10,855.0
2017,5,7,11,938.7
2017,5,7,12,937.64
2017,5,7,13,888.42
2017,5,7,14,779.33
2017,5,7,15,625.02
2017,5,7,16,437.5
2017,5,7,17,233.54
2017,5,7,18,52.7
2017,5,7,19,0.0
2017,5,7,20,0.0
2017,5,7,21,0.0
2017,5,7,22,0.0
2017,5,7,23,0.0
2017,5,8,0,0.0
2017,5,8,1,0.0
2017,5,8,2,0.0
2017,5,8,3,0.0
2017,5,8,4,0.0
2017,5,8,5,60.77
2017,5,8,6,246.2
2017,5,8,7,446.98
2017,5,8,8,629.05
2017,5,8,9,778.96
2017,5,8,10,896.38
2017,5,8,11,919.72
2017,5,8,12,918.34
2017,5,8,13,834.63
2017,5,8,14,755.36
2017,5,8,15,608.73
2017,5,8,16,421.2
2017,5,8,17,223.59
2017,5,8,18,47.84
2017,5,8,19,0.0
2017,5,8,20,0.0
2017,5,8,21,0.0
2017,5,8,22,0.0
2017,5,8,23,0.0
2017,5,9,0,0.0
2017,5,9,1,0.0
2017,5,9,2,0.0
2017,5,9,3,0.0
2017,5,9,4,0.0
2017,5,9,5,50.28
2017,5,9,6,218.42
2017,5,9,7,427.34
2017,5,9,8,614.93
2017,5,9,9,769.52
2017,5,9,10,889.58
2017,5,9,11,940.36
2017,5,9,12,948.16
2017,5,9,13,823.19
2017,5,9,14,701.06
2017,5,9,15,590.91
2017,5,9,16,407.01
2017,5,9,17,190.77
2017,5,9,18,35.18
2017,5,9,19,0.0
2017,5,9,20,0.0
2017,5,9,21,0.0
2017,5,9,22,0.0
2017,5,9,23,0.0
2017,5,10,0,0.0
2017,5,10,1,0.0
2017,5,10,2,0.0
2017,5,10,3,0.0
2017,5,10,4,0.0
2017,5,10,5,43.54
2017,5,10,6,220.77
2017,5,10,7,414.92
2017,5,10,8,560.39
2017,5,10,9,731.73
2017,5,10,10,821.57
2017,5,10,11,862.8
2017,5,10,12,759.37
2017,5,10,13,756.77
2017,5,10,14,625.39
2017,5,10,15,415.93
2017,5,10,16,217.81
2017,5,10,17,98.53
2017,5,10,18,20.8
2017,5,10,19,0.0
2017,5,10,20,0.0
2017,5,10,21,0.0
2017,5,10,22,0.0
2017,5,10,23,0.0
2017,5,11,0,0.0
2017,5,11,1,0.0
2017,5,11,2,0.0
2017,5,11,3,0.0
2017,5,11,4,0.0
2017,5,11,5,43.19
2017,5,11,6,167.8
2017,5,11,7,367.7
2017,5,11,8,529.27
2017,5,11,9,670.05
2017,5,11,10,783.86
2017,5,11,11,793.26
2017,5,11,12,765.12
2017,5,11,13,739.16
2017,5,11,14,576.99
2017,5,11,15,555.23
2017,5,11,16,396.74
2017,5,11,17,198.38
2017,5,11,18,44.08
2017,5,11,19,0.0
2017,5,11,20,0.0
2017,5,11,21,0.0
2017,5,11,22,0.0
2017,5,11,23,0.0
2017,5,12,0,0.0
2017,5,12,1,0.0
2017,5,12,2,0.0
2017,5,12,3,0.0
2017,5,12,4,0.0
2017,5,12,5,47.04
2017,5,12,6,219.02
2017,5,12,7,380.65
2017,5,12,8,535.08
2017,5,12,9,709.98
2017,5,12,10,600.0
2017,5,12,11,705.51
2017,5,12,12,731.35
2017,5,12,13,750.39
2017,5,12,14,679.8
2017,5,12,15,565.5
2017,5,12,16,411.74
2017,5,12,17,204.62
2017,5,12,18,44.03
2017,5,12,19,0.0
2017,5,12,20,0.0
2017,5,12,21,0.0
2017,5,12,22,0.0
2017,5,12,23,0.0
2017,5,13,0,0.0
2017,5,13,1,0.0
2017,5,13,2,0.0
2017,5,13,3,0.0
2017,5,13,4,0.0
2017,5,13,5,53.17
2017,5,13,6,259.16
2017,5,13,7,454.09
2017,5,13,8,604.46
2017,5,13,9,776.75
2017,5,13,10,861.52
2017,5,13,11,888.99
2017,5,13,12,819.17
2017,5,13,13,697.26
2017,5,13,14,655.27
2017,5,13,15,475.14
2017,5,13,16,367.44
2017,5,13,17,187.15
2017,5,13,18,54.41
2017,5,13,19,0.0
2017,5,13,20,0.0
2017,5,13,21,0.0
2017,5,13,22,0.0
2017,5,13,23,0.0
2017,5,14,0,0.0
2017,5,14,1,0.0
2017,5,14,2,0.0
2017,5,14,3,0.0
2017,5,14,4,0.0
2017,5,14,5,54.23
2017,5,14,6,259.6
2017,5,14,7,460.56
2017,5,14,8,646.42
2017,5,14,9,792.86
2017,5,14,10,900.46
2017,5,14,11,930.93
2017,5,14,12,947.67
2017,5,14,13,847.61
2017,5,14,14,737.24
2017,5,14,15,636.89
2017,5,14,16,458.14
2017,5,14,17,249.16
2017,5,14,18,63.34
2017,5,14,19,0.0
2017,5,14,20,0.0
2017,5,14,21,0.0
2017,5,14,22,0.0
2017,5,14,23,0.0
2017,5,15,0,0.0
2017,5,15,1,0.0
2017,5,15,2,0.0
2017,5,15,3,0.0
2017,5,15,4,0.0
2017,5,15,5,73.15
2017,5,15,6,259.28
2017,5,15,7,460.15
2017,5,15,8,646.27
2017,5,15,9,791.32
2017,5,15,10,895.87
2017,5,15,11,932.89
2017,5,15,12,935.7
2017,5,15,13,853.2
2017,5,15,14,675.15
2017,5,15,15,529.23
2017,5,15,16,329.29
2017,5,15,17,167.19
2017,5,15,18,39.26
2017,5,15,19,0.0
2017,5,15,20,0.0
2017,5,15,21,0.0
2017,5,15,22,0.0
2017,5,15,23,0.0
2017,5,16,0,0.0
2017,5,16,1,0.0
2017,5,16,2,0.0
2017,5,16,3,0.0
2017,5,16,4,0.0
2017,5,16,5,54.1
2017,5,16,6,200.52
2017,5,16,7,379.41
2017,5,16,8,538.01
2017,5,16,9,699.16
